id,platform,coords,meta,created_at,updated_at,lat_long,centroid_coords,address,locality,city,centroid
226,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9230648,77.6464534""","{""full"":""Ground floor, Sy. No. Sy. No. 15 ,Ibbalur Village, Agara post, begur 1 Hobli,, Bengaluru south Taluk, Bengaluru- 560102""}",Ibbalur Village,Bangalore,"12.92,77.65"
242,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9951435,77.57643159999999""","{""full"":""First Floor, Nagappa Street,Dattatreya Temple, Bengaluru-560003""}",Dattatreya Temple,Bangalore,"13.00,77.58"
243,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.8771749,77.6243486""","{""full"":""GF, situated at Hulimavu Village, Begur Hobli, Bengaluru South Taluk, Bengaluru -560076""}",Hulimavu Village,Bangalore,"12.88,77.62"
246,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""13.0156289,77.6321339""","{""full"":""Ground Floor, Site no -64 ,Sy. No. 97/3 , Chellekere village, KR puram hobli , chikkamuniyappa reddy circle , kacharakanahalli,Bengaluru -560043""}",KR puram hobli,Bangalore,"13.02,77.63"
284,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9393047,77.6285882""","{""full"":""Ground Floor , Sy. No. 28 measuring 29 Guntas, situated at Ejipura Village, Begur Hobli, 1st Main, Venkata Reddy Layout, Bengaluru South Taluk, Bengaluru - 560068""}",Venkata Reddy Layout,Bangalore,"12.94,77.63"
299,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.2900744,76.6153526""","{""full"":""GF,Built-up Shed Measuring: 4950 Sq ft, (East to West: 55 Sq ft and North to South: 90 Sq ft) No : 27, (Sy 119/2), 5th Main Road, Shivabalayogi Main Road, Kaggadasapura, Bangalore : 560075""}",Kaggadasapura,Bangalore,"12.29,76.62"
30248,blinkit,"[{""lat"" : 12.91, ""lon"" : 77.57}, {""lat"" : 12.9, ""lon"" : 77.57}, {""lat"" : 12.88, ""lon"" : 77.55}, {""lat"" : 12.88, ""lon"" : 77.56}, {""lat"" : 12.9, ""lon"" : 77.58}, {""lat"" : 12.88, ""lon"" : 77.57}, {""lat"" : 12.9, ""lon"" : 77.56}, {""lat"" : 12.89, ""lon"" : 77.57}, {""lat"" : 12.89, ""lon"" : 77.55}, {""lat"" : 12.89, ""lon"" : 77.56}, {""lat"" : 12.89, ""lon"" : 77.58}]","{""id"" : ""bae7825d-913f-4b23-a8ae-87d8667a3a14"", ""store_id"" : ""30248"", ""chain_id"" : ""1383"", ""queried_latitude"" : 12.88, ""queried_longitude"" : 77.55, ""lat"" : 12.88, ""lng"" : 77.55, ""distance"" : 0, ""duration"" : 0, ""rank"" : 3, ""is_nearby_store"" : false, ""city_id"" : 3, ""city_code"" : ""BR"", ""city_name"" : ""Bengaluru"", ""state_id"" : 16, ""state_name"" : ""Karnataka"", ""serviceable"" : true}",2025-03-13 02:10:51.780863+00,2025-03-13 02:10:51.780863+00,,"12.89,77.57","{""types"":[""premise"",""street_address""],""geometry"":{""bounds"":{""northeast"":{""lat"":12.8900544,""lng"":77.5700446},""southwest"":{""lat"":12.8899439,""lng"":77.5698683}},""location"":{""lat"":12.8899997,""lng"":77.5699551},""viewport"":{""northeast"":{""lat"":12.8913481302915,""lng"":77.5713054302915},""southwest"":{""lat"":12.8886501697085,""lng"":77.5686074697085}},""location_type"":""ROOFTOP""},""place_id"":""ChIJ0eK5rVsVrjsRPzBcb4fDhyY"",""formatted_address"":""8, 13th Cross Rd, opp. Jss High School, Ganapathipura, Konanakunte, Bengaluru, Karnataka 560062, India"",""navigation_points"":[{""location"":{""latitude"":12.8900603,""longitude"":77.5699461},""road_name"":""""}],""address_components"":[{""types"":[""street_number""],""long_name"":""8"",""short_name"":""8""},{""types"":[""landmark"",""premise""],""long_name"":""Jss High School"",""short_name"":""Jss High School""},{""types"":[""route""],""long_name"":""13th Cross Road"",""short_name"":""13th Cross Rd""},{""types"":[""political"",""sublocality"",""sublocality_level_2""],""long_name"":""Ganapathipura"",""short_name"":""Ganapathipura""},{""types"":[""political"",""sublocality"",""sublocality_level_1""],""long_name"":""Konanakunte"",""short_name"":""Konanakunte""},{""types"":[""locality"",""political""],""long_name"":""Bengaluru"",""short_name"":""Bengaluru""},{""types"":[""administrative_area_level_3"",""political""],""long_name"":""Bengaluru Urban"",""short_name"":""Bengaluru Urban""},{""types"":[""administrative_area_level_2"",""political""],""long_name"":""Bangalore Division"",""short_name"":""Bangalore Division""},{""types"":[""administrative_area_level_1"",""political""],""long_name"":""Karnataka"",""short_name"":""KA""},{""types"":[""country"",""political""],""long_name"":""India"",""short_name"":""IN""},{""types"":[""postal_code""],""long_name"":""560062"",""short_name"":""560062""}]}",Konanakunte,Bangalore,"12.89,77.57"
30377,blinkit,"[{""lat"" : 12.94, ""lon"" : 77.61}, {""lat"" : 12.94, ""lon"" : 77.62}, {""lat"" : 12.95, ""lon"" : 77.62}]","{""id"" : ""423dd71b-a814-4e89-8301-e5258ba9f702"", ""store_id"" : ""30377"", ""chain_id"" : ""1383"", ""queried_latitude"" : 12.94, ""queried_longitude"" : 77.61, ""lat"" : 12.94, ""lng"" : 77.61, ""distance"" : 0, ""duration"" : 0, ""rank"" : 1, ""is_nearby_store"" : false, ""city_id"" : 3, ""city_code"" : ""BR"", ""city_name"" : ""Bengaluru"", ""state_id"" : 16, ""state_name"" : ""Karnataka"", ""serviceable"" : true}",2025-03-13 02:30:10.634588+00,2025-03-13 02:30:10.634588+00,,"12.94,77.62","{""types"":[""establishment"",""food"",""point_of_interest"",""store""],""geometry"":{""location"":{""lat"":12.9399365,""lng"":77.6199833},""viewport"":{""northeast"":{""lat"":12.9412854802915,""lng"":77.6213322802915},""southwest"":{""lat"":12.9385875197085,""lng"":77.61863431970849}},""location_type"":""ROOFTOP""},""place_id"":""ChIJD3tlyGkVrjsRlMr8_yuw9Cs"",""plus_code"":{""global_code"":""7J4VWJQ9+XX"",""compound_code"":""WJQ9+XX Bengaluru, Karnataka, India""},""formatted_address"":""Block-8, 6th Block, Koramangala, Bengaluru, Karnataka 560095, India"",""navigation_points"":[{""location"":{""latitude"":12.9399536,""longitude"":77.6199588},""road_name"":""""}],""address_components"":[{""types"":[""premise""],""long_name"":""Block-8"",""short_name"":""Block-8""},{""types"":[""political"",""sublocality"",""sublocality_level_2""],""long_name"":""6th Block"",""short_name"":""6th Block""},{""types"":[""political"",""sublocality"",""sublocality_level_1""],""long_name"":""Koramangala"",""short_name"":""Koramangala""},{""types"":[""locality"",""political""],""long_name"":""Bengaluru"",""short_name"":""Bengaluru""},{""types"":[""administrative_area_level_3"",""political""],""long_name"":""Bengaluru Urban"",""short_name"":""Bengaluru Urban""},{""types"":[""administrative_area_level_2"",""political""],""long_name"":""Bangalore Division"",""short_name"":""Bangalore Division""},{""types"":[""administrative_area_level_1"",""political""],""long_name"":""Karnataka"",""short_name"":""KA""},{""types"":[""country"",""political""],""long_name"":""India"",""short_name"":""IN""},{""types"":[""postal_code""],""long_name"":""560095"",""short_name"":""560095""}]}",Koramangala,Bangalore,"12.94,77.62"
30378,blinkit,"[{""lat"" : 13.04, ""lon"" : 77.67}, {""lat"" : 13.03, ""lon"" : 77.65}, {""lat"" : 13.02, ""lon"" : 77.65}, {""lat"" : 13.04, ""lon"" : 77.65}, {""lat"" : 13.04, ""lon"" : 77.66}, {""lat"" : 13.01, ""lon"" : 77.66}, {""lat"" : 13.01, ""lon"" : 77.64}, {""lat"" : 13.01, ""lon"" : 77.65}, {""lat"" : 13.03, ""lon"" : 77.66}, {""lat"" : 13.02, ""lon"" : 77.66}, {""lat"" : 13.02, ""lon"" : 77.67}, {""lat"" : 13.03, ""lon"" : 77.67}]","{""id"" : ""5950c0bc-da94-4947-8095-bfc32eecb053"", ""store_id"" : ""30378"", ""chain_id"" : ""1383"", ""queried_latitude"" : 13.01, ""queried_longitude"" : 77.64, ""lat"" : 13.01, ""lng"" : 77.64, ""distance"" : 0, ""duration"" : 0, ""rank"" : 2, ""is_nearby_store"" : false, ""city_id"" : 3, ""city_code"" : ""BR"", ""city_name"" : ""Bengaluru"", ""state_id"" : 16, ""state_name"" : ""Karnataka"", ""serviceable"" : true}",2025-03-13 02:32:31.604565+00,2025-03-13 02:32:31.604565+00,,"13.02,77.66","{""types"":[""premise"",""street_address""],""geometry"":{""bounds"":{""northeast"":{""lat"":13.0200929,""lng"":77.66008080000002},""southwest"":{""lat"":13.0199013,""lng"":77.6599178}},""location"":{""lat"":13.0199978,""lng"":77.659998},""viewport"":{""northeast"":{""lat"":13.0213460802915,""lng"":77.66134828029152},""southwest"":{""lat"":13.0186481197085,""lng"":77.65865031970851}},""location_type"":""ROOFTOP""},""place_id"":""ChIJtTIko9YQrjsRMj5UxnnNgUg"",""formatted_address"":""1495, Kallumantapa, Horamavu, Bengaluru, Karnataka 560113, India"",""navigation_points"":[{""location"":{""latitude"":13.019991,""longitude"":77.6600137},""road_name"":""""}],""address_components"":[{""types"":[""premise""],""long_name"":""1495"",""short_name"":""1495""},{""types"":[""political"",""sublocality"",""sublocality_level_2""],""long_name"":""Kallumantapa"",""short_name"":""Kallumantapa""},{""types"":[""political"",""sublocality"",""sublocality_level_1""],""long_name"":""Horamavu"",""short_name"":""Horamavu""},{""types"":[""locality"",""political""],""long_name"":""Bengaluru"",""short_name"":""Bengaluru""},{""types"":[""administrative_area_level_3"",""political""],""long_name"":""Bengaluru Urban"",""short_name"":""Bengaluru Urban""},{""types"":[""administrative_area_level_2"",""political""],""long_name"":""Bangalore Division"",""short_name"":""Bangalore Division""},{""types"":[""administrative_area_level_1"",""political""],""long_name"":""Karnataka"",""short_name"":""KA""},{""types"":[""country"",""political""],""long_name"":""India"",""short_name"":""IN""},{""types"":[""postal_code""],""long_name"":""560113"",""short_name"":""560113""}]}",Horamavu,Bangalore,"13.02,77.66"
30558,blinkit,"[{""lat"" : 12.99, ""lon"" : 77.74}, {""lat"" : 13, ""lon"" : 77.74}, {""lat"" : 13, ""lon"" : 77.75}, {""lat"" : 13.01, ""lon"" : 77.74}]","{""id"" : ""4e0d55a9-fcea-402c-9d73-0780ab8cdd0a"", ""store_id"" : ""30558"", ""chain_id"" : ""1383"", ""queried_latitude"" : 12.99, ""queried_longitude"" : 77.74, ""lat"" : 12.99, ""lng"" : 77.74, ""distance"" : 0, ""duration"" : 0, ""rank"" : 1, ""is_nearby_store"" : false, ""city_id"" : 3, ""city_code"" : ""BR"", ""city_name"" : ""Bengaluru"", ""state_id"" : 16, ""state_name"" : ""Karnataka"", ""serviceable"" : true}",2025-03-13 07:37:27.082747+00,2025-03-13 07:37:27.082747+00,,"13.0,77.74","{""types"":[""establishment"",""food"",""point_of_interest""],""geometry"":{""location"":{""lat"":13.0003059,""lng"":77.74020089999999},""viewport"":{""northeast"":{""lat"":13.0016548802915,""lng"":77.7415498802915},""southwest"":{""lat"":12.9989569197085,""lng"":77.7388519197085}},""location_type"":""ROOFTOP""},""place_id"":""ChIJt_W0fxkRrjsR0TTjsEDI5HE"",""plus_code"":{""global_code"":""7J5V2P2R+43"",""compound_code"":""2P2R+43 Bengaluru, Karnataka, India""},""formatted_address"":""12, b block, Jai bheem nagar, Sadaramangala, Krishnarajapuram, Bengaluru, Karnataka 560067, India"",""navigation_points"":[{""location"":{""latitude"":13.0002512,""longitude"":77.7402051},""road_name"":""""}],""address_components"":[{""types"":[""subpremise""],""long_name"":""b block"",""short_name"":""b block""},{""types"":[""premise""],""long_name"":""Jai bheem nagar"",""short_name"":""Jai bheem nagar""},{""types"":[""political"",""sublocality"",""sublocality_level_2""],""long_name"":""Sadaramangala"",""short_name"":""Sadaramangala""},{""types"":[""political"",""sublocality"",""sublocality_level_1""],""long_name"":""Krishnarajapuram"",""short_name"":""K R Puram""},{""types"":[""locality"",""political""],""long_name"":""Bengaluru"",""short_name"":""Bengaluru""},{""types"":[""administrative_area_level_3"",""political""],""long_name"":""Bengaluru Urban"",""short_name"":""Bengaluru Urban""},{""types"":[""administrative_area_level_2"",""political""],""long_name"":""Bangalore Division"",""short_name"":""Bangalore Division""},{""types"":[""administrative_area_level_1"",""political""],""long_name"":""Karnataka"",""short_name"":""KA""},{""types"":[""country"",""political""],""long_name"":""India"",""short_name"":""IN""},{""types"":[""postal_code""],""long_name"":""560067"",""short_name"":""560067""}]}",Sadaramangala,Bangalore,"13.00,77.74"
