id,platform,coords,meta,created_at,updated_at,lat_long,centroid_coords,address,locality,city,centroid
129,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9520393,77.72088529999999""","{""full"":""Ground Floor ,Sy. No. 3 situated at Thubarahalli Village, Varthur Hobli, Bengaluru South Taluk-560066""}",Varthur Hobli,Bangalore,"12.9520393,77.72088529999999"
13,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9769641,80.1974204""","{""full"":""First Floor,Door No:27,SISI Colony,NSC Bose Road,Ullagaram,Chennai - 600091.""}",SISI Colony,Chennai,"12.9769641,80.1974204"
130,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""13.165214,77.4092323""","{""full"":""Ground Floor , Survey No. 220/1 , Kodihalli Village, Varthur Hobli, Kodihalli Main Road, 6th Cross, Bengaluru East Taluk, Bengaluru- 560008""}",Kodihalli Village,Bangalore,"13.165214,77.4092323"
131,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9576511,77.66077109999999""","{""full"":""Ground Floor ,Corporation No.6,PID No. 73-92-6 ,Civil Aviation, Konena Agrahara Varthur Hobli, Bengaluru East Taluk , BBMP Ward No. 113- Konena Agrahara Bengaluru -560017""}",Konena Agrahara,Bangalore,"12.9576511,77.66077109999999"
132,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9160803,80.15524359999999""","{""full"":""GF,No.98/6-part, Rajakilpakkam Village, Cross Street, Sathya Sai Nagar, Samy Nagar, Rajakilpakkam, Chengalpattu, Kancheepuram District (Now Chengalpattu District), Chennai- 600073""}",Rajakilpakkam,Chennai,"12.9160803,80.15524359999999"
133,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""26.8030664,75.823388""","{""full"":""Basement Floor,111/132,111/131 Kumbha Marg,Pratap nagar,Jaipur-302033""}",Pratap nagar,Jaipur,"26.8030664,75.823388"
134,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""22.5109271,88.3048186""","{""full"":""GF, Mouza Behala, Pargana Balia,, Upendranath Banerjee road, P.O. & P.S. Parnasree, District South 24 Parganas -Kolkata - 700060""}",Behala,Kolkata,"22.5109271,88.3048186"
135,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""22.6661909,88.36194909999999""","{""full"":""Ground Floor ,F-63, MM Feeder Road, Kolkata- 700057""}",MM Feeder Road,Kolkata,"22.6661909,88.36194909999999"
136,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""30.9132546,75.8706397""","{""full"":""Ground Floor, 5042/5E,Ram nagar(Samrala Road), ludhiana punjab -141001""}",Ram nagar,Ludhiana,"30.9132546,75.8706397"
137,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""19.1405866,73.0995528""","{""full"":""Ground Floor ,Survey no 147/4/E situated at Village Blake, district Thane 421204""}",Village Blake,Thane,"19.1405866,73.0995528"
